Datum,von,bis,Thema,FwDV,Art,Dauer,Ortsteil-Feuerwehr
03.01.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
12.01.2024,19:00,22:00,UVV / Gefahren der Einsatzstelle,FwDV 1,U,3:00,Traisa 
13.01.2024,9:00,14:00,Weihnachtsbaumabholaktion Unterstützung der Jugendfeuerwehr,,S,5:00,Mühltal
26.01.2024,19:00,22:00,Atemschutzunterweisung/Atemschutzüberwachungstafel,FwDV 7,U,3:00,Traisa 
07.02.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
16.02.2024,19:00,22:00,Digitalfunk / Einweisung Funker MTW,FwDV 2,U/P,3:00,Traisa 
21.02.2024,19:00,21:00,Gruppen- und Zugführerschulung Mühltal,FwDV 100,U,2:00,Mühltal
01.03.2024,19:00,22:00,Moderne Antriebstechniken,FwDV 3,U/P,3:00,Traisa 
06.03.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
09.03.2024,19:00,22:00,JHV Traisa + Verein ,,S,3:00,Traisa 
14.03.2024,19:00,21:00,"Unterricht - Jahresthema ""Fzg-&Geräte im KatS""",FwDV 1,KatS,2:00,Mühltal
15.03.2024,19:00,22:00,Zugübung/ Einsatzübung Brand ,FwDV 3,U/P,3:00,Traisa 
20.03.2024,19:00,22:00,Zug- und Gruppenführerschulung Traisa - AAO Traisa/ Einsatzvorbereitung,FwDV 100,U,3:00,Traisa 
29.03.2024,19:00,22:00,Einsatzvorbereitung Lohbergtunnel ,FwDV 1,U/P,3:00,Traisa 
03.04.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
06.04.2024,14:00,18:00,Alarmübung Lohbergtunnel ,FwDV 3,P,4:00,Mühltal
12.04.2024,19:00,22:00,Ausbildung Truppmann/-führer ,FwDV 10,P,3:00,Traisa 
19.04.2024,19:00,21:00,JHV Mühltal in Traisa,,S,2:00,Mühltal
20.04.2024,,,Kreiskameradschaftsabend (Semd),,S,0:00,Mühltal
26.04.2024,19:00,22:00,Waldbrand/Flächenbrand,FwDV 3,P,3:00,Traisa 
08.05.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
17.05.2024,19:00,22:00,Technische Hilfeleistung Verkehrsunfall,FwDV 1,P,3:00,Traisa 
22.05.2024,19:00,21:00,Gruppen- und Zugführerschulung Mühltal,FwDV 100,U,2:00,Mühltal
31.05.2024,19:00,22:00,Technische Hilfeleistung Bau ,FwDV 1,P,3:00,Traisa 
02.06.2024,8:00,16:00,Gerätehausfest Feuerwehr Traisa (Tag der offenen Tür),,S,8:00,Traisa 
05.06.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
14.06.2024,19:00,22:00,Drucklüfter + Hohlstrahlrohr,FwDV 1,P,3:00,Traisa 
15.06.2024,8:00,16:00,Praxis - Fzg&Ger. im KatS-MT,FwDV 1,KatS,8:00,Mühltal
18.06.2024,17:00,20:00,Technische Hilfeleistung Wald/ Motorkettensägen Ausbildung,FwDV 1,P,3:00,Traisa 
21.06.2024,13:00,22:00,Johannisfeuer,,S,9:00,Traisa 
28.06.2024,19:00,22:00,Atemschutzübung / Absturzsicherung,FwDV 7,P,3:00,Traisa 
03.07.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
06.07.2024,,,Dankeschön-Grillfest in Frankenhausen,,S,0:00,Mühltal
12.07.2024,19:00,22:00,Wasserrettung ,FwDV 1,P,3:00,Traisa 
26.07.2024,19:00,22:00,Gefahrgut/Dekon ,FwDV 500,P,3:00,Traisa 
04.08.2024,8:00,13:00,Wasserförderung lange Wegstrecke,FwDV 1,P,5:00,Traisa 
07.08.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
16.08.2024,16:30,19:30,Technische Hilfeleistung Wald/ Motorkettensägen Ausbildung,FwDV 1,P,3:00,Traisa 
18.08.2024,13:30,15:30,Begleitung Kerweumzug Traisa,,S,2:00,Traisa 
21.08.2024,19:00,21:00,Gruppen- und Zugführerschulung Mühltal,FwDV 100,U,2:00,Mühltal
27.08.2024,18:00,21:00,Gemeinschaftsübung Jugendfeuerwehr,FwDV 3,P,3:00,Traisa 
04.09.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
07.09.2024,8:00,16:00,Praxis - KatS-Fzg im Kreis,FwDV 1,KatS,8:00,Mühltal
13.09.2024,19:00,22:00,Zugübung/ Einsatzübung Technische Hilfeleistung,FwDV 3,P,3:00,Traisa 
27.09.2024,19:00,22:00,Gewässerschutz/Ölsperre,FwDV 1,P,3:00,Traisa 
02.10.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
10.10.2024,19:00,21:00,Unterricht - Sicherheit bei Fzg&Ger.  - Jahresabschluss,FwDV 1,KatS,2:00,Mühltal
11.10.2024,19:00,22:00,Drucklüfter + Hohlstrahlrohr,FwDV 1,P,3:00,Traisa 
25.10.2024,19:00,22:00,Schaumübung ,FwDV 1,P,3:00,Traisa 
06.11.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
15.11.2024,19:00,22:00,Sonderobjekt Traisa,FwDV 100,U,3:00,Traisa 
20.11.2024,19:00,21:00,Gruppen- und Zugführerschulung Mühltal,FwDV 100,U,2:00,Mühltal
29.11.2024,19:00,22:00,Ausbildung Truppmann/-führer ,FwDV 10,U,3:00,Traisa 
04.12.2024,19:00,22:00,Fahrz. u. Gerätekunde/ Maschinistenausbildung/ Techn.Dienst,FwDV 1,P,3:00,Traisa 
10.12.2024,,,Übergabe Ehrenamtsprämie in Frankenhausen,,S,0:00,Mühltal
13.12.2024,19:00,22:00,Objektbegehung,FwDV 100,U,3:00,Traisa 
14.12.2024,19:00,22:00,Weihnachstfeier Traisa,,S,3:00,Traisa 